possession_status,availability_starts_from,floor_no,commercial,developer,approved_authority_name,units_available,price,price_english,flooring_type,electricity_status,maintenance_type,maintenance_charges,booking_amount,landmark,covered_area,project_name,sqft_price,carpet_area,area_name,property_uniqueness,unit_of_carpet_area,society,ownership_type,furnished_type,bathroom,parking,facing,amenities_facing,transaction_type,floor_data,type_of_property,city,bedroom,data_referred_from,floors,water_status,luxury_flat,covered_area_1,carpet_area_unit,isprimelocationproperty,tenants_preference,location,property,covarea_unit,isluxuryserviceprovided,property_lifespan,balconies,rera,power_back_up,lift,rain_water_harvesting,club_house,swimming_pool,gymnasium,park,parking_1,security,water_storage,private_terrace_garden,vaastu_compliant,service_goods_lift,air_conditioned,visitor_parking,intercom_facility,maintenance_staff,waste_disposal,laundry_service,internet_wi_fi_connectivity,dth_television_facility,ro_water_system,banquet_hall,bar_lounge,cafeteria_food_court,conference_room,piped_gas,jogging_and_strolling_track,outdoor_tennis_courts,mansion,downtown,skyline_view,wrap_around_balcony,island_kitchen_layout,full_glass_wall,house_help_accommodation,concierge_services,garden_view,marble_flooring,well_furnished,modular_kitchen,helipad,private_pool,private_jaccuzi,mini_cinema_theatre,golf_course,infinity_swimming_pool,pool_with_temperature_control,sea_facing,skydeck,earth_quake_resistant,theme_based_architectures,health_club_with_steam_jaccuzi,large_clubhouse,large_open_space,fingerprint_access,grand_entrance_lobby,private_garage,fireplace,wine_cellar,sky_villa,water_front,hilltop,smart_home,barbeque_space,kids_play_area,library,puja_room,study,servant_room,store,aerobics_room,canopy_walk,coffee_lounge_restaurants,dance_studio,event_space_amphitheatre,flower_gardens,guest_accommodation,indoor_squash_badminton_courts,kids_play_area,kids_play_pool_with_water_slides,library_and_business_centre,meditation_area,multipurpose_courts,recreational_pool,rentable_communipfty_space,retail_boulevard_retail_shops,cycling_jogging_track,fire_fighting_equipment,aesthetically_designed_landscape_garden,possession_by,nri_pref,land_area_covered_area,land_area_unit,pantry_type,price_per_sqft
6,6,29,0,59,5,1.0,3150000.0,148,41,1,2,3.0,100000.0,84,635.0,85,4960.0,375.0,12,1,1,1,1,2,2.0,0,0,3,0,194,0,3,1.0,0,14.0,2,0,635.0,1,1,0,15,0,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,8400.0
5,6,12,1,91,10,10.0,6300000.0,225,41,1,2,3.0,100000.0,198,579.0,136,10880.0,579.0,12,1,1,1,1,2,2.0,0,0,5,0,127,0,3,2.0,0,34.0,2,0,579.0,1,1,0,15,1,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10880.82901554404
5,6,9,0,74,5,0.0,5400000.0,217,41,1,0,1200.0,100000.0,240,850.0,113,6352.0,585.0,12,1,1,1,1,2,2.0,2,0,1,0,91,0,3,2.0,0,18.0,2,0,850.0,1,1,0,15,1,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,9230.76923076923
6,6,29,0,11,5,70.0,9000000.0,267,41,1,0,3200.0,100000.0,216,1050.0,23,8571.0,815.0,12,1,1,1,1,2,2.0,1,0,10,0,204,0,3,2.0,0,27.0,2,0,1050.0,1,1,0,15,1,1,0.0,5,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,11042.944785276073
6,5,32,1,21,6,4.0,4950000.0,204,41,1,0,1500.0,500000.0,286,561.0,35,8824.0,419.0,12,1,1,1,1,1,2.0,0,0,0,0,245,0,3,1.0,0,26.0,2,0,561.0,1,1,0,15,0,1,0.0,5,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,11813.842482100239
6,24,7,0,95,0,2.0,6570000.0,229,41,1,0,2.0,50000.0,29,1067.0,142,6157.0,667.0,12,1,1,1,1,2,2.0,0,2,1,0,79,0,3,2.0,0,18.0,2,0,1067.0,1,1,0,15,1,1,0.0,5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,9850.07496251874
5,6,0,0,59,5,4.0,5500000.0,218,41,1,0,2000.0,51000.0,241,725.0,85,7586.0,550.0,12,1,1,0,0,2,2.0,0,0,1,1,9,0,3,2.0,0,7.0,2,0,725.0,1,1,0,15,1,1,0.0,1,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,10000.0
5,6,27,0,59,10,1.0,4200000.0,187,41,1,0,1500.0,51000.0,9,650.0,85,6462.0,585.0,12,1,1,0,1,1,1.0,0,0,5,1,190,0,3,1.0,0,8.0,2,0,650.0,1,1,0,15,0,1,0.0,2,2.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,7179.48717948718
6,6,7,0,21,0,15.0,3449000.0,156,41,1,0,3.0,50000.0,249,592.0,36,5826.0,370.0,12,1,1,1,1,2,1.0,0,2,1,0,82,0,3,1.0,0,22.0,2,0,592.0,1,1,0,15,0,1,0.0,5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1500.0,12850.0,,9321.621621621622
5,6,29,0,59,6,4.0,5000000.0,210,41,1,0,1500.0,100000.0,89,644.0,85,7764.0,430.0,12,1,1,0,1,2,1.0,0,7,4,1,209,0,3,1.0,0,7.0,2,0,644.0,1,1,0,15,0,1,0.0,0,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1500.0,12850.0,,11627.906976744185
