Archive,ID,Possession Status,Floor No,Commercial,Developer,Approved Authority Name,Units Available,Price,Flooring Type,Electricity Status,Maintenance Type,Maintenance Charges,Booking Amount,Landmark,Covered Area,Project Name,sqft Price,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Society,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Floor Data,Type of Property,City,bedroom,floors,Water Status,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Location,Property,covArea Unit,isLuxuryServiceProvided,Property Lifespan,balconies,Rera,Power Back Up,Lift,Rain Water Harvesting,Club House,Swimming Pool,Gymnasium,Park,Parking2,Security,Water Storage,Private Terrace/Garden,Vaastu Compliant,Service/Goods Lift,Air Conditioned,Visitor Parking,Intercom Facility,Maintenance Staff,Waste Disposal,Laundry Service,Internet/Wi-Fi Connectivity,DTH Television Facility,RO Water System,Banquet Hall,Bar/Lounge,Cafeteria/Food Court,Conference Room,Piped Gas,Jogging and Strolling Track,Outdoor Tennis Courts,Mansion,Downtown,Skyline View,Wrap Around Balcony,Island Kitchen Layout,Full Glass Wall,House help accommodation,Concierge Services,Garden View,Marble flooring,Well Furnished,Modular Kitchen,Helipad,Private pool,Private Jaccuzi,Mini Cinema Theatre,Golf Course,Infinity Swimming Pool,Pool with temperature control,Sea facing,Skydeck,Earth quake resistant,Theme based Architectures,Health club with Steam / Jaccuzi,Large Clubhouse,Large Open space,Fingerprint Access,Grand Entrance lobby,Private Garage,Fireplace,Wine Cellar,Sky Villa,Water Front,Hilltop,Smart Home,Barbeque space,Kids play area,Library,Puja Room,Study,Servant Room,Store,Aerobics Room,Canopy Walk,Coffee Lounge & Restaurants,Dance Studio,Event Space & Amphitheatre,Flower Gardens,Guest Accommodation,Indoor Squash & Badminton Courts,Kids Play Pool With Water Slides,Library And Business Centre,Meditation Area,Multipurpose Courts,Recreational Pool,Rentable CommuniPfty Space,Retail Boulevard (Retail Shops),Cycling & Jogging Track,Fire Fighting Equipment,Aesthetically designed landscape garden,Possession By,Land Area / Covered Area,Land Area Unit,Pantry Type
properties_csv.zip,12685,Under Construction,5,N,NA,KDMC,1,3150000,Vitrified,No/Rare Powercut,Per sq. Unit Monthly,3,100000,Kalyan West Bapgaon,635,NA,4960,375,Kalyan West,NA,Sq-ft,Y,Freehold,Unfurnished,2,1 Covered,East,"Garden/Park, Pool",New Property,5 of 14 Floor,Apartment,Thane,1,14,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",1 BHK Flat,Sq-ft,0,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12684,Ready to Move,20,Y,TATA Housing Development Company Ltd.,TMC,10,6300000,Vitrified,No/Rare Powercut,Per sq. Unit Monthly,3,100000,Rajoli naka,579,Tata Amantra,10880,579,Kalyan West,NA,Sq-ft,Y,Freehold,Unfurnished,2,1 Covered,East,Main Road,New Property,20 of 34 Floor,Apartment,Thane,2,34,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",2 BHK Flat,Sq-ft,0,New Construction,NA,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12683,Ready to Move,18,N,Sai Satyam Developers,KDMC,0,5400000,Vitrified,No/Rare Powercut,Monthly,1200,100000,This property has reputed scholl ints vicinity.,850,Sai Satyam Homes,6352,585,Kalyan West,East Facing Property,Sq-ft,Y,Freehold,Unfurnished,2,1 Open,East,"Garden/Park, Main Road",New Property,18 of 18 Floor,Apartment,Thane,2,18,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",2 BHK Flat,Sq-ft,0,New Construction,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12682,Under Construction,5,N,Birla Estates,KDMC,70,9000000,Vitrified,No/Rare Powercut,Monthly,3200,100000,Shahad is one of the attractive locations to own a home,1050,Birla Vanya,8571,815,Kalyan West,NA,Sq-ft,Y,Freehold,Unfurnished,2,"1 Covered, 1 Open",East,"Pool, Garden/Park, Main Road",New Property,5 of 27 Floor,Apartment,Thane,2,27,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",2 BHK Flat,Sq-ft,0,NA,3,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12681,Under Construction,8,Y,Godrej Properties,NA,NA,4950000,NA,NA,NA,NA,500000,majiwada metro station,561,Godrej Nirvaan,8824,419,Kalyan West,NA,Sq-ft,Y,Freehold,Semi-Furnished,2,NA,East,Garden/Park,New Property,8 of 26 Floor,Apartment,Thane,1,26,NA,F,Sq-ft,Y,"Kalyan West, Thane",1 BHK Flat,Sq-ft,0,NA,NA,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12680,Under Construction,16,N,Tycoons Group,ABAAut,2,6570000,Vitrified,No/Rare Powercut,Monthly,2,50000,"Close to tree house school, Dmart, KDMC garden, Spring time Club.",1067,Tycoons Solitaire Sapphire,6157,667,Kalyan West,NA,Sq-ft,Y,Freehold,Unfurnished,2,1 Covered,North - East,"Garden/Park, Main Road",New Property,16 of 18 Floor,Apartment,Thane,2,18,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",2 BHK Flat,Sq-ft,0,NA,1,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12679,Ready to Move,1,N,NA,KDMC,4,5500000,Vitrified,No/Rare Powercut,Monthly,2000,51000,Tilak Chowck,725,NA,7586,550,Kalyan West,NA,Sq-ft,N,Co-operative Society,Unfurnished,2,NA,East,"Garden/Park, Main Road",Resale,1 of 7 Floor,Apartment,Thane,2,7,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",2 BHK Flat,Sq-ft,0,15 to 20 years,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12678,Ready to Move,4,N,NA,TMC,1,4200000,Vitrified,No/Rare Powercut,Monthly,1500,51000,Agra Road,650,NA,6462,585,Kalyan West,NA,Sq-ft,N,Freehold,Semi-Furnished,1,NA,East,Main Road,Resale,4 of 8 Floor,Apartment,Thane,1,8,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",1 BHK Flat,Sq-ft,0,5 to 10 years,2,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12677,Under Construction,16,N,Godrej Properties,ABAAut,15,3449000,Vitrified,No/Rare Powercut,Monthly,3,50000,Within 4 mins from 2 stations Shahad and Ambivali Within 12 mins,592,Godrej Riviera,5826,370,Kalyan West,NA,Sq-ft,Y,Freehold,Unfurnished,1,NA,North - East,"Garden/Park, Main Road",New Property,16 of 22 Floor,Apartment,Thane,1,22,Water Availability 24 Hours Available,F,Sq-ft,Y,"Kalyan West, Thane",1 BHK Flat,Sq-ft,0,NA,1,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
properties_csv.zip,12676,Ready to Move,5,N,NA,NA,NA,5000000,NA,NA,NA,NA,100000,NA,644,NA,7764,430,Kalyan West,NA,Sq-ft,N,NA,Unfurnished,1,NA,West,NA,Resale,5 of 7 Floor,Apartment,Thane,1,7,NA,F,Sq-ft,Y,"Kalyan West, Thane",1 BHK Flat,Sq-ft,0,10 to 15 years,1,NA,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
